As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
-1,0,14,39,4,46,900,3,31,4.9000001,95,461328.1036,6203847.095
1,5,13,13,4.5999999,54,780,2,24,1.5,88,461470.747,6199822.169
-1,5,15,16,5.75,54,1800,3,30,1,102,461471.1373,6193822.91
2,6,11,28,2.5,54,295,3,31,4,92,461771.1283,6176322.777
2,6,13,38,3.6500001,54,680,3,21,2.5999999,110,461771.1906,6151222.949
3,3,13,14,1.54999995,36,300,2,26,1,94,461771.2745,6127922.349
1,6,16,34,2.5,40,500,-2,53,4,120,461771.2792,6137823.161
3,5,12,68,5.05000019,62,915,3,34,3.4000001,116,461771.2912,6157323.222
2,8,14,27,2.75,62,490,2,42,2,104,461771.4051,6161022.812
6,9,30,47,4.05000019,68,1250,6,24,2.5,160,461870.9685,6133222.458
4,4,21,39,2.45000005,40,500,3,58,2,94,461871.3028,6141622.694
3,11,15,50,1.75,98,450,3,41,2.5,110,461970.8612,6196022.289
2,8,21,39,3.8499999,66,1150,4,37,0.5,120,461971.2289,6182622.884
4,-1,4,13,1.29999995,86,1350,2,10,3.20000005,36,461971.4934,6167222.28
4,8,12,35,2.95000005,62,700,2,37,2.20000005,106,462071.1333,6155523.149
-1,0,13,26,3.5,77,640,-2,25,6.9000001,90,462109.0553,6206358.874
2,5,49,49,2.1500001,42,275,3,84,1.20000005,146,462271.3738,6147822.808
1,8,12,58,2.4000001,78,700,3,46,2.5999999,114,462671.0064,6164522.795
3,6,10,18,3,42,680,2,20,12.30000019,72,462771.0055,6172122.445
2,-1,7,25,1.39999998,0,360,2,36,2,74,462771.3372,6123222.717
2,7,10,39,2.6500001,66,605,2,14,6.69999981,86,463771.4035,6144123.015
-1,0,14,31,2.5,120,540,2,27,5.30000019,95,463965.197,6208291.908
3,5,8,24,1.25,28,225,3,31,3,68,464071.0404,6126322.613
6,6,16,28,2.20000005,28,775,3,27,2,110,464171.0103,6130822.458
1,-1,14,32,2.95000005,76,435,3,49,2.5,116,464171.0983,6175422.951
5,-1,10,19,2.79999995,54,810,2,24,2.4000001,64,464171.4075,6168022.774
3,-1,19,44,2.95000005,98,395,5,46,1.5,114,464271.0598,6178422.734
2,12,22,72,6.75,114,820,6,31,2.5,96,464271.1698,6187222.062
4,0,18,52,2.5,72,560,2,61,2.70000005,114,464271.3652,6151922.963
0,0,12,11,5.80000019,60,815,2,14,4.69999981,68,464663.8207,6211985.913
3,0,10,22,3.54999995,56,725,3,23,2.5999999,64,464671.0148,6162322.562
