As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
-1,0,5,14,2.29999995,52,475,2,10,4.0999999,100,597914.9318,6322604.924
-1,0,5,13,0.87,40,185,2,13,8.39999962,95,597930.5073,6372185.743
6,6,19,66,4.5999999,60,985,4,32,2.4000001,114,597970.9072,6158422.666
3,6,17,45,4.19999981,40,615,3,46,1.29999995,140,597970.9402,6161522.163
6,8,5,55,2,96,370,3,19,0.60000002,80,597971.0137,6111822.358
5,4,23,48,6.0999999,34,1770,2,47,2.5999999,122,597971.0744,6125322.494
-1,6,6,40,0.69999999,50,420,3,12,5.80000019,86,597971.169,6143421.964
-1,-1,7,37,1.89999998,59,810,2,20,11.60000038,94,598070.6543,6288022.538
3,5,13,40,3.5999999,22,600,2,44,5.80000019,106,598070.9737,6138422.255
1,0,11,50,1.79999995,74,425,2,40,2.70000005,86,598170.6285,6105422.299
7,9,13,70,2.5999999,118,790,2,71,2.79999995,120,598170.6554,6129621.859
1,0,8,24,2.29999995,59,480,2,16,5.69999981,70,598171.2275,6264922.406
-1,-1,12,19,2.45000005,36,340,2,30,1.60000002,90,598171.3083,6224622.172
7,11,18,94,1.5,108,575,2,40,1.10000002,102,598271.0869,6163822.209
2,-1,29,34,3.54999995,28,1400,3,48,4.30000019,134,598271.2001,6193921.922
3,0,11,56,1.10000002,76,355,0,21,1.60000002,80,598371.2138,6168021.775
7,-1,17,44,3.0999999,70,465,3,43,0.2,124,598371.2523,6153822.498
-1,0,5,26,1.39999998,59,280,-2,9,3.79999995,64,598371.3287,6266822.315
-1,0,4,18,1.39999998,54,200,4,9,18.89999962,85,598371.5884,6378348.818
5,0,14,21,2.1500001,62,420,2,43,1,98,598471.4794,6230422.142
-1,0,14,44,3.29999995,60,340,-2,16,3.5999999,89,598553.5725,6345520.406
1,-2,7,29,0.70999998,144,400,-2,18,0.2,90,598570.1094,6079122.723
7,10,11,51,2.79999995,90,300,3,36,1.79999995,44,598570.2279,6070622.637
-1,9,13,25,3.0999999,84,335,2,31,0.5,84,598570.6192,6098522.425
7,8,10,38,2.3499999,52,420,2,36,1.89999998,76,598570.7421,6084422.668
-1,0,15,12,5.0999999,57,1080,2,10,5.5999999,100,598643.4521,6328994.553
7,-1,6,20,1.20000005,56,355,3,14,5,70,598670.9255,6308322.9
5,-1,30,37,3.70000005,40,2600,4,43,1.70000005,148,598671.1687,6172822.662
-1,0,5,10,1.41999996,63,835,2,8,3.5999999,27,598703.3953,6318661.312
4,-1,7,38,1.5,52,200,2,29,1.70000005,60,598770.6786,6088221.989
2,-1,14,37,3.70000005,40,420,2,37,3,122,598771.2385,6148222.61
-1,0,40,33,4.25,88,1250,3,28,0.2,156,598771.4932,6250222.245
-1,5,11,45,2.1500001,31,660,2,25,0.5,106,598771.539,6196622.199
-1,0,22,18,5.19999981,66,2350,4,19,7.5999999,190,598783.5024,6327040.09
-1,5,7,14,1.79999995,70,340,-2,17,0.89999998,46,598870.1414,6062022.23
1,-1,16,37,4.5,60,550,2,40,0.2,140,598870.7976,6150121.935
-1,0,7,29,2.79999995,66,650,2,12,2.9000001,86,598870.9671,6270022.883
-1,0,6,26,1.08000004,106,305,4,12,4.69999981,110,598918.5202,6336481.658
3,0,14,23,9,55,1330,12,13,7.4000001,290,598935.4396,6365602.17
5,11,16,43,2,138,660,0,33,0.5,64,598970.7794,6102022.362
8,-1,11,40,1.70000005,-10,1300,4,21,9,76,598971.0948,6297022.566
4,8,11,32,2.29999995,108,310,2,31,4.9000001,80,598971.327,6184822.754
-1,-1,19,35,2.45000005,94,550,3,33,0.69999999,106,598971.353,6218522.145
2,3,14,22,2.54999995,34,415,3,26,2,72,598971.5299,6201022.541
-1,0,9,20,1.95000005,80,335,-2,17,2.29999995,92,598998.9319,6334316.379
1,0,37,30,2.75,48,740,3,31,0.5,76,599071.1448,6256322.328
1,0,18,17,1.11000001,97,2350,8,11,9.80000019,210,599135.5388,6371403.028
3,5,12,37,2.54999995,41,250,2,38,2.4000001,92,599170.3734,6091422.413
2,-1,13,28,2.20000005,38,1350,3,30,9.39999962,114,599170.8191,6283022.9
4,15,11,43,2,170,350,2,27,6.5999999,84,599171.5184,6181822.3
-1,0,6,18,0.92000002,50,175,-2,12,6,80,599422.6217,6358143.239
-1,0,5,15,2.25,110,475,8,16,4.30000019,130,599564.4389,6348852.558
2,5,8,58,1.89999998,50,480,3,27,13.69999981,90,599570.9402,6140822.678
-1,0,4,12,1.85000002,40,355,-2,10,6.19999981,82,599581.8241,6350944.566
-1,0,7,34,1.44000006,140,370,6,7,5,110,599710.7003,6355434.957
-1,0,4,10,2.01999998,55,120,4,8,6.69999981,69,600091.2367,6381192.122
1,4,10,38,3.5,50,500,2,37,4.30000019,124,600170.8061,6143721.983
5,7,14,73,3.0999999,70,295,3,45,1.29999995,108,600171.0605,6162422.628
1,5,13,37,2.95000005,67,460,2,38,1.39999998,114,600271.1412,6203122.189
-1,-1,15,22,3.0999999,50,395,2,35,1.60000002,108,600271.3252,6222222.133
2,7,13,31,3.45000005,56,480,2,32,2.5999999,96,600271.5137,6205522.739
-1,0,8,19,2.0999999,52,625,2,11,2.79999995,76,600471.312,6264521.974
3,7,7,40,1.79999995,90,335,2,30,2,20,600569.9752,6070722.458
6,7,13,40,2.54999995,45,260,2,40,1.70000005,94,600570.3242,6091322.291
3,-1,21,23,13,22,2500,6,34,4.0999999,158,600570.8394,6290422.715
3,7,27,50,5.19999981,54,1050,0,64,2.20000005,164,600570.9613,6164221.899
-1,-2,11,25,2.8499999,48,560,2,24,1,86,600571.3933,6247722.405
2,-1,9,29,2.3499999,31,340,-2,28,1.70000005,66,600670.3028,6086722.439
6,8,12,43,2.25,56,420,2,39,1.70000005,76,600670.5479,6084222.142
1,5,12,33,2.6500001,38,280,2,33,2.79999995,94,600670.7824,6093522.082
-1,0,11,30,2.04999995,38,370,2,35,1.39999998,92,600771.2774,6242622.825
-1,-1,17,47,3.79999995,28,1500,2,52,3.79999995,136,600771.3733,6197821.724
-1,0,3,4,1.30999994,19,205,2,3,3.5,31,600897.3005,6372729.457
4,6,7,57,3.4000001,58,610,4,23,0.40000001,80,600970.8599,6112622.02
8,4,11,23,4.0999999,38,1150,3,18,4.19999981,94,600970.9245,6304223.226
2,-1,13,38,3.70000005,46,395,2,38,3.4000001,108,600971.1368,6193521.931
9,7,35,46,3.29999995,40,5500,5,55,1.10000002,172,600971.138,6172522.308
-1,0,8,14,3,108,360,2,11,1.10000002,100,601023.8588,6333588.206
-1,-1,15,35,2.95000005,54,500,3,45,3.20000005,110,601071.0003,6227222.606
-1,0,13,11,5.80000019,45,1580,2,11,6.19999981,90,601166.4995,6341632.411
8,11,26,53,3.29999995,104,1100,3,32,2.4000001,86,601170.5084,6129722.89
-1,-1,9,23,1.79999995,52,810,2,12,4.69999981,100,601170.6918,6287322.429
5,-1,17,42,4.9000001,68,1350,4,22,9,142,601170.813,6303023.142
1,0,16,38,3.79999995,38,530,3,30,1.70000005,126,601171.1341,6237821.987
1,0,10,29,3.70000005,31,420,3,28,2.9000001,98,601171.2225,6235022.661
1,7,12,48,2.9000001,90,485,-2,27,1.89999998,106,601270.2759,6106122.886
2,0,9,15,3.5999999,38,775,4,11,5.9000001,84,601271.0698,6255122.75
4,9,14,36,3,80,540,2,35,2.4000001,86,601271.2265,6184822.143
-1,0,8,11,4.0999999,59,460,8,8,5,120,601321.6973,6382063.673
2,-1,5,10,0.86000001,72,150,2,8,1,94,601369.735,6065822.298
3,-1,10,24,2.4000001,60,300,2,31,1,74,601370.1685,6062122.093
2,4,11,33,3.5999999,32,420,3,32,2.29999995,112,601370.6536,6137021.79
9,-2,20,65,1.79999995,120,740,2,37,3.79999995,98,601371.304,6179022.602
6,0,22,38,4.4000001,48,615,3,33,1.5,146,601371.543,6214621.935
-1,0,5,7,1.17999995,17,410,-2,7,3.4000001,37,601429.8424,6321786.402
1,0,8,36,1.79999995,45,450,4,26,2.5999999,76,601471.0304,6251922.79
-1,7,11,38,1,60,320,4,21,3.20000005,78,601471.272,6151722.04
5,-1,10,23,2.4000001,40,370,-2,21,0.60000002,76,601570.862,6147822.127
5,8,16,72,1.60000002,80,405,4,30,1.5,108,601570.9659,6154622.359
4,9,9,44,1,70,150,2,24,1.5,74,601571.1073,6158022.507
-1,0,10,15,2.29999995,20,1000,-2,18,2.5,68,601571.3247,6276722.845
6,9,8,25,1.29999995,76,250,3,14,2.4000001,74,601671.3932,6167922.558
-1,0,6,7,0.69999999,102,355,2,5,4.5,54,601683.8308,6338255.29
8,9,22,58,4,104,850,4,31,1.5,100,601770.5158,6127022.428
2,6,16,28,4.19999981,40,420,-2,34,1.10000002,68,601770.9282,6139322.121
-1,0,6,24,2.0999999,95,515,2,11,31.70000076,85,601815.9648,6325518.932
-1,0,6,20,2.20000005,48,675,3,16,4,74,601871.1841,6266822.735
-1,0,5,22,1.53999996,60,215,4,4,5.19999981,83,602127.4162,6356786.653
1,8,10,29,2.4000001,100,375,3,30,3.0999999,76,602169.7659,6073022.684
4,-1,9,32,1.75,100,435,-2,18,5.5,75,602171.1796,6279622.722
-1,11,17,71,2.95000005,112,690,3,52,5.4000001,126,602171.2104,6188922.749
-1,0,11,26,3.20000005,34,440,2,30,2,94,602171.3253,6232321.763
1,0,8,29,2.5999999,45,685,2,23,2.79999995,84,602171.4309,6246522.38
-1,0,9,24,1.86000001,101,665,-2,15,5.80000019,100,602192.9058,6329366.035
-1,0,3,4,1.09000003,18,205,-2,3,1.5,37,602211.0998,6387656.825
-1,0,5,22,1.32000005,90,275,-2,13,4.0999999,93,602229.3667,6352168.142
6,-1,8,28,1.70000005,160,350,-2,28,0.80000001,84,602269.9319,6078722.191
6,9,13,38,3.20000005,106,610,-2,18,2.4000001,110,602270.8536,6107621.793
4,18,15,50,4,246,670,4,41,5.19999981,126,602271.4945,6182722.363
-1,-1,12,38,3.70000005,28,625,2,39,2.79999995,116,602370.9501,6200222.061
-1,0,6,48,1,45,300,2,30,1.20000005,64,602371.1642,6258722.562
5,0,9,20,1.20000005,48,400,3,17,1.5,70,602371.3195,6274522.841
2,4,11,34,2.79999995,22,440,3,25,0.80000001,66,602470.3906,6116022.673
4,6,10,30,2.9000001,58,405,2,28,3,88,602470.5752,6124422.358
6,12,16,47,3.29999995,140,480,3,32,0.2,102,602570.5804,6099322.681
2,4,12,32,3.5999999,30,455,2,37,2,108,602670.6623,6133822.096
1,10,14,36,2.5,110,320,3,34,1.20000005,98,602670.8063,6101721.814
-1,-1,8,30,1.89999998,62,660,2,13,10.10000038,74,602670.885,6270722.936
1,9,16,55,2.79999995,78,590,2,47,5.19999981,136,602771.412,6174222.246
1,4,9,22,1.95000005,45,250,2,30,1.60000002,80,602771.4447,6224222.218
-1,0,4,20,1.29999995,50,200,2,6,5.19999981,83,602778.6669,6358668.601
-1,0,6,22,4.69999981,59,680,6,11,7,180,602844.1952,6376316.873
-1,0,9,24,5.4000001,60,575,16,6,6,180,602887.4773,6361901.362
3,-1,19,29,4.3499999,48,2750,2,20,1.5,135,602971.1766,6282722.534
-1,0,9,13,3.9000001,42,490,-2,10,9.30000019,100,603019.5614,6366911.817
4,-1,11,28,1.79999995,34,1000,3,17,6,86,603071.0063,6296922.494
4,-1,10,33,2.5,32,250,2,31,2,90,603171.383,6219222.264
4,-1,5,28,2,66,265,2,26,1.5,94,603171.4599,6209722.11
-1,0,3,3,0.86000001,17,145,4,2,2.70000005,26,603193.4163,6371098.58
1,0,6,12,4.19999981,80,445,8,6,3.29999995,70,603252.483,6348259.948
4,10,5,26,1.5,130,200,-2,23,0.89999998,76,603269.8503,6080021.833
6,5,13,41,2.9000001,56,480,3,35,3.5,109,603270.5126,6120022.296
-1,0,5,5,0.69,9,105,2,5,3,23,603602.7597,6318944.6
7,6,12,39,2.79999995,56,460,3,33,2,98,603770.3807,6119822.436
7,6,8,28,1.79999995,70,225,3,28,1.5,80,603770.5678,6092822.295
8,0,13,75,1,70,200,6,29,0.2,66,603770.9968,6161722.625
6,10,13,50,1.70000005,86,390,3,40,5,110,603871.0276,6167221.713
1,-2,11,32,2.3499999,60,450,-2,26,2.0999999,96,603871.2631,6235422.727
4,8,9,34,2.29999995,56,560,4,35,1.60000002,126,603970.6009,6094522.434
-1,-1,9,11,2.20000005,36,420,2,15,0.5,62,604071.0418,6262222.793
1,-1,5,17,1.29999995,102,260,-2,18,0.30000001,58,604169.9465,6080422.21
5,-1,9,20,2.20000005,54,380,2,49,0.80000001,70,604170.2997,6084921.933
9,8,12,68,3.29999995,86,885,2,35,5.19999981,120,604171.0306,6164622.42
2,4,8,24,2.29999995,27,310,3,25,2.5,76,604171.0511,6220822.034
5,8,13,47,3,58,405,3,44,2.4000001,106,604270.5771,6115622.622
4,0,6,18,1.04999995,0,150,4,18,2,34,604271.1847,6256922.66
2,0,7,19,1.5,28,340,3,15,6.19999981,58,604370.795,6280622.296
1,-1,15,41,3.8499999,46,525,3,44,4.80000019,112,604370.9524,6195222.702
6,15,16,34,4.19999981,194,900,3,48,2.79999995,144,604370.9657,6183121.97
-1,0,12,60,1.5,110,335,3,31,2.29999995,108,604470.3275,6098122.067
1,5,12,33,3.70000005,14,540,3,35,3.20000005,108,604470.815,6137522.721
-1,6,15,33,3.5,56,460,2,41,3,116,604471.2505,6202222.082
3,5,8,28,2,50,345,-2,27,1,64,604569.9836,6087922.535
-1,-1,14,38,4,40,500,2,40,3.20000005,106,604571.2684,6189022.319
-1,4,12,24,2.54999995,40,450,-2,29,2.4000001,92,604571.4095,6238822.748
4,0,13,25,2,45,480,2,27,2.0999999,98,604571.5133,6232622.617
-1,-1,10,38,3.6500001,38,510,-2,45,1.70000005,126,604571.5286,6200222.51
1,-1,15,42,4.0999999,62,690,3,44,4.0999999,118,604671.0618,6192722.473
7,7,35,65,4,64,4000,4,82,2.79999995,135,604671.2789,6174622.691
4,7,3,9,1,46,150,3,9,7.4000001,32,604770.9702,6316123.189
1,0,10,10,3.5,74,275,10,10,3.20000005,120,604933.4056,6370573.939
3,7,11,32,3.20000005,40,345,2,28,0.60000002,106,604971.1534,6157422.46
1,0,12,22,2.3499999,45,470,2,29,2.5999999,88,604971.1957,6240722.263
-1,7,11,39,1,50,270,2,25,2.5999999,104,605070.8944,6144022.17
-1,-1,4,9,1.70000005,14,310,2,10,1.89999998,42,605071.1989,6248222.276
-1,0,5,25,0.93000001,70,225,-2,11,1.79999995,65,605082.8211,6351342.694
-1,0,7,14,6.19999981,56,460,6,7,3.4000001,150,605088.636,6380023.391
5,4,19,42,3.5,50,440,-2,40,0.80000001,90,605170.2579,6102622.76
4,13,10,100,1.10000002,132,865,2,28,6,96,605170.9809,6179022.721
2,8,6,22,1.10000002,80,160,4,10,6,58,605171.0042,6309323.173
7,-1,8,38,1.89999998,22,480,3,9,7.9000001,84,605171.0622,6298322.413
4,6,11,37,3.29999995,50,320,2,27,0.60000002,114,605171.3673,6156022.184
-1,0,11,15,12.89999962,70,770,8,8,4.0999999,250,605258.5679,6361987.59
-1,-1,11,25,2.6500001,48,540,2,23,2.5,76,605271.2317,6251022.279
1,0,14,11,6.80000019,30,2000,2,10,5,90,605277.5404,6344849.738
3,14,11,33,1.5,150,240,2,27,1.89999998,74,605370.0832,6104821.76
8,14,6,13,1.20000005,170,510,2,14,0.2,20,605370.2512,6076822.12
4,5,8,29,2.79999995,58,435,2,28,4.5999999,82,605570.424,6113122.795
7,-2,10,45,3.4000001,18,500,2,43,2.70000005,104,605570.7509,6130222.087
2,-1,5,19,1.85000002,48,200,2,13,4.5,70,605571.182,6288022.514
1,6,15,23,3.5999999,34,570,2,31,2.20000005,98,605571.466,6206222.889
7,6,10,30,3.5,50,540,2,39,2.5999999,106,605670.5971,6127022.556
1,2,14,28,3.79999995,24,560,2,32,0.60000002,60,605670.9245,6140621.883
3,11,8,36,2.20000005,114,465,-2,19,5,80,605770.592,6108021.948
1,-1,10,21,3.20000005,54,470,3,11,2.29999995,72,605870.661,6291723.027
-1,-1,5,12,1.45000005,18,330,-2,11,2,48,605871.4534,6245422.618
-1,0,8,25,5.5999999,140,670,-2,13,2.9000001,160,605943.7639,6355498.305
6,-1,6,26,1.20000005,80,180,4,9,6,66,605970.9151,6301722.629
5,-1,5,18,1.95000005,48,290,2,12,4,58,605970.9874,6283222.696
4,-1,11,23,3.4000001,32,500,2,30,2.5,98,605971.4019,6209322.49
2,13,13,37,4.69999981,160,620,3,42,3.5,124,605971.4602,6187522.003
-1,0,7,17,4.9000001,71,555,8,12,7.19999981,130,605998.5948,6372745.728
1,0,14,25,4.4000001,88,2650,4,28,9.69999981,130,606040.8938,6333671.995
7,-1,7,16,1.60000002,38,465,3,10,20,68,606070.6945,6312523.395
-1,0,8,17,1.63,115,515,2,10,4.80000019,80,606136.551,6335955.434
-1,0,8,19,2.5999999,76,610,4,11,5.80000019,100,606144.6602,6340806.09
-1,9,-2,4,0.37,110,570,-2,-2,0.2,72,606170.1348,6074022.172
6,-1,6,20,2.5,46,320,2,22,1.5,92,606170.3077,6122422.03
4,6,13,40,2.79999995,40,660,2,40,4.30000019,130,606170.9831,6173321.791
2,7,10,26,3.0999999,45,370,2,32,3,106,606171.411,6216422.655
1,10,12,37,1.89999998,90,260,3,33,1.29999995,104,606371.0927,6146621.952
1,0,8,12,3,37,530,4,12,11.80000019,73,606467.8997,6319505.029
2,1,2,3,3,15,150,-2,2,0.2,60,606469.6497,6069722.213
-1,0,7,13,4.19999981,60,370,4,8,3.9000001,120,606569.7201,6359357.359
2,0,10,25,1.39999998,90,305,3,23,2,88,606570.7896,6135022.313
-1,0,3,21,1.5,113,300,2,10,7,210,606594.3028,6366273.089
2,7,9,32,2.25,36,200,5,20,0.2,134,606671.5376,6224322.131
-1,0,7,8,1.92999995,54,185,4,10,2.70000005,140,606686.4085,6377348.421
-1,0,6,17,3.9000001,55,205,2,13,6.5999999,140,606691.6724,6386616.243
-1,0,8,11,2,70,605,-2,10,2.9000001,100,606784.6266,6348859.44
1,0,12,18,3.5999999,29,1570,2,15,8.80000019,97,606930.9962,6323175.592
-1,0,5,8,1.25,52,210,-2,10,2.5999999,66,606970.8297,6328723.098
1,-1,14,37,3.20000005,67,435,2,47,3.4000001,122,607070.9249,6197321.952
-1,-1,10,32,3.0999999,31,330,-2,40,0.2,110,607071.1153,6201022.064
5,5,9,28,2.20000005,56,295,3,41,3.79999995,72,607170.628,6306423
5,-1,13,32,4.80000019,50,710,2,39,1.70000005,128,607370.8585,6160821.982
2,7,5,50,2,70,250,2,16,1.29999995,82,607470.2213,6116522.799
3,-2,5,21,1.20000005,112,420,2,13,0.2,70,607470.5862,6146422.682
5,0,7,18,6.75,50,470,3,10,10,58,607470.8704,6274922.806
3,-1,11,28,3.9000001,100,380,-2,32,1.10000002,126,607471.2089,6151622.205
4,12,3,26,0.87,120,460,3,15,1.89999998,66,607669.6979,6076422.314
6,7,10,51,2.5,64,450,2,40,3,84,607669.883,6083822.235
-1,0,8,7,1.76999998,26,440,-2,9,6.30000019,52,607673.83,6326896.987
1,-1,6,9,1.29999995,-10,200,-2,11,2,42,607770.946,6240822.302
3,13,15,37,4.4000001,144,590,3,50,2,136,607771.2072,6187822.467
4,16,15,32,4.9000001,200,540,2,43,4.0999999,150,607771.5093,6181822.194
2,0,3,13,0.57999998,64,320,3,11,2.4000001,46,607869.9209,6065722.218
1,-1,5,17,1,28,150,2,14,8.5,56,607871.1514,6287822.819
2,-1,5,8,1.14999998,26,150,2,12,1.79999995,42,607971.0742,6237222.739
4,6,17,58,3.4000001,54,1250,3,14,4.5,128,607971.3549,6168422.397
2,5,10,33,1.35000002,50,360,5,25,0.89999998,136,607971.4573,6231422.196
4,9,12,33,1.39999998,84,285,2,24,0.40000001,64,608069.9839,6097922.642
2,5,13,48,4.30000019,36,600,-2,39,1.5,100,608070.0807,6081722.183
4,7,12,37,1.89999998,50,455,2,27,3.4000001,84,608070.5933,6144922.076
-1,-1,5,20,1.39999998,22,235,3,13,3,48,608170.5769,6315123.561
-1,-1,6,10,1.5,45,180,2,14,1,52,608171.3516,6235922.713
3,6,14,38,4.0999999,40,560,2,41,2.0999999,104,608270.2231,6091621.931
12,-1,9,22,3.20000005,68,540,2,10,0.89999998,88,608271.0873,6300523.309
2,7,8,26,3.4000001,80,875,2,7,2.79999995,80,608370.7418,6309122.538
4,-1,7,17,2.5999999,-10,940,-2,12,2.79999995,70,608371.0781,6297822.988
5,-2,9,52,1.79999995,78,370,-2,37,2.5999999,84,608371.1422,6262622.669
-1,0,9,24,3.75999999,90,585,2,9,2.4000001,120,608443.6206,6358504.905
4,6,9,33,2.79999995,34,400,2,30,2.5999999,78,608470.4919,6123421.838
-1,0,7,17,2,48,500,2,16,2,56,608470.9723,6260122.915
2,8,16,39,3.3499999,56,740,4,29,3.4000001,96,608471.304,6202622.639
-1,0,10,17,2.08999991,31,500,2,11,5.5,140,608493.3418,6378974.057
-1,0,7,5,2.21000004,32,195,4,9,3.20000005,125,608502.72,6375548.108
3,7,6,28,1.10000002,58,180,2,15,2.20000005,78,608570.1512,6112721.909
6,13,18,46,2.29999995,130,375,4,53,2.79999995,104,608570.3062,6103022.605
7,5,10,42,3.29999995,40,480,3,35,0.2,108,608570.7641,6158722.759
4,6,9,62,1.39999998,64,295,3,32,2.4000001,84,608570.8909,6165122.578
4,0,8,15,1.25,34,240,2,19,4.30000019,62,608571.2896,6269422.098
1,-1,13,37,2.70000005,56,350,-2,39,2,100,608670.9761,6212722.593
3,7,15,52,4.19999981,56,560,3,67,2.4000001,96,608770.1572,6088122.697
5,14,16,34,2.5,140,335,3,30,4.80000019,84,608770.3504,6105221.836
4,5,9,31,2.0999999,42,485,3,20,7.5,72,608771.0941,6290823.074
2,0,11,17,1.70000005,40,420,2,15,1,58,608771.2653,6256422.265
2,3,13,41,3.5999999,32,600,3,36,1.60000002,112,608870.4294,6137622.505
2,-1,9,24,1.79999995,50,415,2,20,6.19999981,70,608870.906,6280223.199
5,-1,15,20,3.29999995,24,700,-2,24,0.2,80,608871.2053,6154422.426
1,7,12,40,2.70000005,100,475,2,37,4.4000001,108,608969.5071,6074421.852
10,9,11,52,3,60,465,2,54,3.5999999,96,608969.7764,6094122.705
1,0,20,10,5.4000001,58,2350,2,14,11.19999981,96,609040.7034,6320320.385
2,11,11,42,2.79999995,120,410,-2,28,11.30000019,88,609070.4018,6108722.8
7,6,9,40,3.29999995,50,490,3,40,2.5999999,106,609070.5533,6126021.764
3,0,4,19,0.89999998,40,190,2,15,3.79999995,48,609070.8078,6277222.527
10,-1,6,27,3.20000005,56,1000,3,7,6.4000001,96,609071.0629,6311223.516
-1,0,7,11,2.70000005,67,330,4,13,3.4000001,78,609154.6111,6332564.489
9,11,34,53,3.29999995,124,1650,3,28,4.30000019,122,609170.9978,6174922.512
4,-1,38,48,8.10000038,88,6200,5,52,4.5,109,609171.2647,6283722.455
1,-1,17,38,3.3499999,62,490,-2,39,2.4000001,102,609171.3163,6189821.692
-1,0,10,22,4.30000019,72,635,6,12,22.20000076,100,609246.6468,6329427.258
1,-1,17,26,3.75,40,680,2,36,2.4000001,102,609271.5074,6207722.479
-1,0,2,4,0.63,96,155,-2,5,2.20000005,21,609326.0307,6336860.359
3,-1,5,18,2.0999999,40,410,-2,28,2.5,58,609369.3606,6071721.987
3,3,10,27,3,22,440,2,28,2.20000005,78,609370.1225,6119021.747
2,-1,14,31,4.0999999,55,640,2,38,3,120,609371.1568,6217922.774
3,5,14,40,3.5,60,440,-2,42,3.9000001,142,609371.4523,6173022.419
1,0,10,10,4.30000019,80,950,2,12,1.70000005,230,609371.8854,6366120.429
-1,0,7,20,1.83000004,60,530,2,11,4.4000001,91,609419.9198,6343523.264
1,-1,18,53,3.54999995,62,795,3,42,3.4000001,116,609471.4665,6192422.594
5,-1,10,29,1.39999998,68,540,3,12,4.5,56,609571.1062,6294223.035
2,-1,15,32,3.4000001,64,590,2,40,2.20000005,144,609571.3534,6178821.906
-1,0,9,30,1.57000005,130,690,-2,7,5.0999999,110,609758.9402,6355969.346
4,3,8,27,2.4000001,22,515,2,30,0.89999998,90,609770.2946,6129822.264
-1,0,2,2,0.13,27,25,-2,2,1.79999995,18,609901.6953,6373892.66
-1,0,5,11,1.52999997,40,350,-2,10,2,70,610003.4485,6350514.762
2,0,10,10,10.39999962,148,1060,8,10,1.70000005,240,610540.7485,6369150.452
1,0,11,19,2.70000005,45,2550,2,20,7.4000001,100,610565.5099,6341836.426
1,0,12,16,4.9000001,47,1320,4,14,8.5,110,610714.0716,6327606.403
2,-1,19,31,3.3499999,67,585,3,38,3.5999999,118,610771.167,6197222.628
7,11,5,58,1.79999995,96,420,3,25,2.79999995,76,610870.132,6115322.727
1,6,14,37,3.29999995,54,615,2,41,4.5,162,610871.2443,6169222.215
-1,0,8,25,1.36000001,64,210,2,18,6.19999981,100,610946.3327,6387325.318
4,6,12,54,3.29999995,70,480,3,32,5.5,109,610970.0026,6112621.971
7,8,8,30,2.20000005,56,420,2,29,4.4000001,76,610970.4488,6130821.981
6,7,5,63,2.5,40,440,3,22,5.80000019,92,610970.6123,6147621.951
14,-1,16,22,4.80000019,14,1200,4,14,4.80000019,80,610970.8834,6296723.047
-1,0,15,21,4.5999999,70,1000,2,15,13.39999962,140,610974.0151,6321389.686
-1,0,7,15,6.30000019,70,365,4,8,4.0999999,140,611050.774,6363159.786
-1,0,3,8,1.05999994,64,105,4,7,1.70000005,78,611054.4195,6391923.082
-1,4,9,43,2.29999995,40,500,3,31,3.4000001,106,611070.6302,6137922.34
3,-1,23,19,10,56,9000,5,20,0.2,98,611070.8223,6273522.857
2,-1,6,18,1.45000005,100,260,-2,13,3,58,611071.1026,6283223.093
2,6,20,19,3.29999995,38,990,3,22,6.4000001,90,611271.1175,6291222.644
-1,-1,12,22,2.75,20,675,-2,31,0.2,92,611271.2164,6204922.199
-1,0,14,14,4.30000019,70,915,-2,8,3.4000001,110,611307.5165,6349181.094
-1,0,6,21,1.29999995,68,235,2,16,9,140,611330.1817,6385255.364
3,9,13,36,2.79999995,84,340,2,38,4.19999981,104,611369.4116,6074421.518
3,8,11,30,2.79999995,56,375,2,27,4.5999999,90,611369.4167,6070722.252
4,9,15,48,2.0999999,90,345,2,57,13.69999981,70,611370.0111,6098522.455
1,-2,8,11,2.0999999,22,380,-2,18,1.60000002,56,611371.2518,6240922.594
8,-1,6,17,3.79999995,46,615,4,7,4.5,102,611470.6361,6314023.414
6,11,3,25,1.20000005,104,295,3,16,1.29999995,86,611570.6762,6128321.963
13,-1,5,18,1,56,140,3,8,4.19999981,62,611570.8524,6311423.327
1,7,10,48,1.75,59,480,2,44,1,132,611571.372,6200822.116
1,9,15,32,4.30000019,98,550,0,41,2.20000005,140,611671.0492,6186422.392
4,-1,7,28,4,40,615,-2,30,3.4000001,114,611770.5554,6143522.564
3,2,8,23,2.4000001,20,370,2,17,1.10000002,58,611770.6439,6141521.757
3,0,8,70,2,86,690,3,24,1.70000005,84,611771.0963,6154421.932
7,-2,13,61,2.20000005,64,740,2,50,8.89999962,142,611771.3709,6179422.429
3,6,13,30,3.5999999,44,500,-2,37,1,96,611869.9495,6094822.258
8,20,21,38,3.4000001,272,540,3,37,0.2,146,611870.0104,6101722.457
-1,0,12,43,1.67999995,60,195,-2,14,4.5999999,150,611886.5376,6355441.209
7,8,14,48,3,64,490,3,40,6.69999981,120,611971.0784,6175221.912
5,-1,18,31,3.29999995,40,3000,7,37,14.89999962,128,611971.1649,6304322.984
4,0,8,42,1.35000002,67,435,2,23,2,90,611971.3409,6261822.127
5,6,11,31,3.29999995,80,385,-2,40,1.5,156,612169.366,6066421.424
4,-1,16,56,3.79999995,44,440,-2,47,3.0999999,116,612169.8632,6092021.913
